Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Lucknowee,3.8,200,North Indian,Church Street,25,https://www.zomato.com//bangalore/chai-galli-church-street-bangalore 
The Celebration Cakes And Desserts,4.5,200,Street Food,Frazer Town,699,https://www.zomato.com//bangalore/madras-meal-company-1-frazer-town-bangalore 
Mayura 1989 Andhra Speciality Restaurant,3.0,200,Andhra,Commercial Street,627,https://www.zomato.com//bangalore/waffle-magic-commercial-street-bangalore 
Burma Burma,3.1,200,Asian,Global Village,578,https://www.zomato.com//bangalore/fruitbae-rajajinagar-bangalore 
Churmur Chaat Company,4.1,200,Street Food,Rajajinagar,744,https://www.zomato.com//bangalore/cake-pastries-rajajinagar-bangalore 
SVI Food,4.0,100,North Indian,Race Course Road,752,https://www.zomato.com//bangalore/boba-tree-race-course-road-bangalore 
N Razakhiya Hotel,4.2,100,Fast Food,Basavanagudi,926,https://www.zomato.com//bangalore/magic-fill-basavanagudi-bangalore 
Mr. Chow,4.1,100,Chinese,Koramangala,2,https://www.zomato.com//bangalore/muna-momos-corner-koramangala-7th-block-bangalore 
Kerala Pavilion,4.3,100,Kerala,Shivajinagar,641,https://www.zomato.com//bangalore/roll-master-shivajinagar-bangalore 
Vegan Heat,3.7,100,Andhra,Koramangala,916,https://www.zomato.com//bangalore/lucknowee-koramangala-7th-block-bangalore 
Sagar Delicacy,4.1,100,North Indian,Koramangala,857,https://www.zomato.com//bangalore/the-celebration-cakes-and-desserts-1-koramangala-7th-block-bangalore 
Login 2 Eat,3.8,100,North Indian,Rajajinagar,183,https://www.zomato.com//bangalore/mayura-1989-andhra-speciality-restaurant-rajajinagar-bangalore 
Shaap,4.3,100,Kerala,Brigade Road,103,https://www.zomato.com//bangalore/burma-burma-brigade-road-bangalore 
Avanthi - Aromas of Andhra,4.3,100,Andhra,Residency Road,859,https://www.zomato.com//bangalore/churmur-chaat-company-residency-road-bangalore 
Ammaiyar Restaurant,4.0,100,South Indian,Ulsoor,25,https://www.zomato.com//bangalore/svi-food-ulsoor-bangalore 
Maharaja Military Canteen - Donne Biryani,4.1,100,Biryani,Nagawara,2,https://www.zomato.com//bangalore/n-razakhiya-hotel-nagawara-bangalore 
Sultans Of Spice,3.8,100,North Indian,Koramangala,767,https://www.zomato.com//bangalore/mr-chow-koramangala-4th-block-bangalore 
Madras Meal Company,4.0,250,South Indian,Domlur,252,https://www.zomato.com//bangalore/kerala-pavilion-domlur 
Chinita Real Mexican Food,4.2,250,Mexican,Koramangala,960,https://www.zomato.com//bangalore/vegan-heat-koramangala-1st-block 
Mamagoto,4.5,250,Asian,Ulsoor,100,https://www.zomato.com//bangalore/sagar-delicacy-ulsoor 
Yuki,4.0,250,Asian,Koramangala,2,https://www.zomato.com//bangalore/login-2-eat-koramangala-4th-block-bangalore 
Upahara Darshini Kims Canteen,4.2,250,Chinese,Indiranagar,293,https://www.zomato.com//bangalore/shaap-indiranagar 
Hotel Bilal Biriyani Centre,3.5,250,Biryani,Indiranagar,50,https://www.zomato.com//bangalore/avanthi-aromas-of-andhra-1-indiranagar-bangalore 
Step Right Up,4.3,250,Street Food,Ulsoor,5,https://www.zomato.com//bangalore/ammaiyar-restaurant-ulsoor-bangalore 
Madno - House of Sundaes,3.9,250,Desserts,Rajajinagar,898,https://www.zomato.com//bangalore/maharaja-military-canteen-donne-biryani-rajajinagar-bangalore 
Hotel Karavali,4.4,250,South Indian,BluPetal Hotel,4529,https://www.zomato.com//bangalore/sultans-of-spice-koramangala-5th-block-bangalore 
GLOBO Ice Creams Of The World,4.1,250,Desserts,Seshadripuram,790,https://www.zomato.com//bangalore/madras-meal-company-seshadripuram-bangalore 
Robin Brown Ice Cream,4.5,250,Desserts,Indiranagar,2920,https://www.zomato.com//bangalore/chinita-real-mexican-food-indiranagar 
Karnataka Chicken Biryani Point,4.0,250,Biryani,Indiranagar,2977,https://www.zomato.com//bangalore/mamagoto-indiranagar 
Sabra Famous Kati Roll,4.4,100,Fast Food,Koramangala,661,https://www.zomato.com//bangalore/yuki-koramangala-5th-block-bangalore 
Juice Junction,4.3,100,Beverages,City Market,575,https://www.zomato.com//bangalore/upahara-darshini-kims-canteen-city-market-bangalore 
Pizzazier By Mystique Palate,3.7,100,Fast Food,Mysore Road,8,https://www.zomato.com//bangalore/hotel-bilal-biriyani-centre-mysore-road-bangalore 
Good Fettle Healthy Ice Creams,3.9,100,Desserts,Vasanth Nagar,226,https://www.zomato.com//bangalore/step-right-up-vasanth-nagar 
Asia Seven – Sizzling Chinese,3.6,100,Chinese,Brigade Road,520,https://www.zomato.com//bangalore/madno-house-of-sundaes-brigade-road-bangalore 
Sri Sairam's Chats & Juice Centre,4.0,100,Street Food,Residency Road,58,https://www.zomato.com//bangalore/hotel-karavali-residency-road-bangalore 
R R Fruit Juice Center,4.0,100,Beverages,Shanti Nagar,583,https://www.zomato.com//bangalore/globo-ice-creams-of-the-world-shanti-nagar-bangalore 
Ipsha's Kitchen,4.4,100,South Indian,Shivajinagar,918,https://www.zomato.com//bangalore/robin-brown-ice-cream-shivajinagar-bangalore 
Sri Ganesh Sweets,3.5,100,Sweets,Basaveshwara Nagar,4,https://www.zomato.com//bangalore/karnataka-chicken-biryani-point-basaveshwara-nagar-bangalore 
Hanoi - Vietnamese Cuisine,4.0,100,Chinese,Commercial Street,522,https://www.zomato.com//bangalore/sabra-famous-kati-roll-commercial-street-bangalore 
Asha Food Camp,4.3,100,Chinese,Koramangala,846,https://www.zomato.com//bangalore/juice-junction-koramangala-5th-block-bangalore 
New Krishna Bhavan,4.0,100,South Indian,Jayanagar,540,https://www.zomato.com//bangalore/pizzazier-by-mystique-palate-jayanagar-bangalore 
Maison Du Brownie And Cheese Cake,3.8,300,Desserts,Koramangala,514,https://www.zomato.com//bangalore/good-fettle-healthy-ice-creams-koramangala-5th-block-bangalore 
Salad Matters,3.8,300,Andhra,Malleshwaram,2,https://www.zomato.com//bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore 
Celebration Special by CakeZone,4.0,300,Desserts,Malleshwaram,198,https://www.zomato.com//bangalore/sri-sairams-chats-juice-centre-malleshwaram-bangalore 
Go Zero Guilt Free Ice Creams,3.6,300,Desserts,Malleshwaram,679,https://www.zomato.com//bangalore/r-r-fruit-juice-center-malleshwaram-bangalore 
H R Biryani,3.9,300,Biryani,Magadi Road,813,https://www.zomato.com//bangalore/ipshas-kitchen-magadi-road-bangalore 
Millet Express,3.9,300,Andhra,City Market,630,https://www.zomato.com//bangalore/sri-ganesh-sweets-city-market-bangalore 
Xero Degrees,4.4,300,Beverages,Indiranagar,2618,https://www.zomato.com//bangalore/hanoi-vietnamese-cuisine-indiranagar-bangalore 
Pabrai's Fresh & Naturelle Icecreams,4.1,300,Desserts,Malleshwaram,585,https://www.zomato.com//bangalore/asha-food-camp-malleshwaram 
SAP Juice Junction,4.2,300,Beverages,Malleshwaram,702,https://www.zomato.com//bangalore/new-krishna-bhavan-malleshwaram 
Art Of Dum,4.5,300,Biryani,Indiranagar,43,https://www.zomato.com//bangalore/maison-du-brownie-and-cheese-cake-1-indiranagar-bangalore 
Shivanna Gulkan Stores,4.2,300,Street Food,Koramangala,39,https://www.zomato.com//bangalore/salad-matters-koramangala-4th-block-bangalore 
Chai Mane,3.9,300,Beverages,Koramangala,951,https://www.zomato.com//bangalore/celebration-special-by-cakezone-koramangala-6th-block-bangalore 
Haji Ali Juice Centre,3.9,250,Beverages,Koramangala,729,https://www.zomato.com//bangalore/go-zero-guilt-free-ice-creams-koramangala-5th-block-bangalore 
Smocky And Snacky,4.1,250,Fast Food,Richmond Road,740,https://www.zomato.com//bangalore/h-r-biryani-richmond-road-bangalore 
New Govind Rao Military Hotel,4.1,250,South Indian,Indiranagar,720,https://www.zomato.com//bangalore/millet-express-1-indiranagar-bangalore 
Backyard Burgers And Grill,3.5,250,Fast Food,Koramangala,99,https://www.zomato.com//bangalore/xero-degrees-koramangala-5th-block-bangalore 
Dhaba - Estd 1986 Delhi,4.5,250,North Indian,Brigade Road,143,https://www.zomato.com//bangalore/pabrais-fresh-naturelle-icecreams-brigade-road-bangalore 
Atithi Satkaar,3.9,250,North Indian,Old Airport Road,594,https://www.zomato.com//bangalore/sap-juice-junction-airport-road-bangalore 
Sri Ganesh Juice Junction,4.4,250,Beverages,Indiranagar,536,https://www.zomato.com//bangalore/art-of-dum-indiranagar-bangalore 
Bombay Kulfi &  Rabri,4.1,250,Desserts,Basavanagudi,973,https://www.zomato.com//bangalore/shivanna-gulkan-stores-basavanagudi-bangalore 
The Coorg Food Co.,4.2,250,South Indian,Basavanagudi,6,https://www.zomato.com//bangalore/chai-mane-basavanagudi 
Le Gateau - The Cake Shop,4.3,250,Desserts,Frazer Town,29,https://www.zomato.com//bangalore/haji-ali-juice-centre-frazer-town-bangalore 
Hive Honey Cake,3.9,250,Desserts,Basavanagudi,988,https://www.zomato.com//bangalore/smocky-and-snacky-basavanagudi-bangalore 
Uff Urban Food Factory,4.0,250,South Indian,Majestic,159,https://www.zomato.com//bangalore/new-govind-rao-military-hotel-majestic 
Copper + Cloves,4.0,300,Beverages,Indiranagar,31,https://www.zomato.com//bangalore/backyard-burgers-and-grill-indiranagar-bangalore 
