restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Captain Olive,4.1,500,Fast Food,www.zomato.com/bangalore/captain-olive-btm-bangalore/order,BTM,0.0,Timings Not Available
Royal Treat,4.1,100,North Indian,www.zomato.com/bangalore/royal-treat-koramangala-5th-block/order,Koramangala 5th Block,491.0,11am – 11pm 
Royal Treat,4.1,100,Chinese,www.zomato.com/bangalore/royal-treat-koramangala-5th-block/order,Koramangala 5th Block,491.0,11am – 11pm 
Royal Treat,4.1,100,Biryani,www.zomato.com/bangalore/royal-treat-koramangala-5th-block/order,Koramangala 5th Block,491.0,11am – 11pm 
Royal Treat,4.1,100,Beverages,www.zomato.com/bangalore/royal-treat-koramangala-5th-block/order,Koramangala 5th Block,491.0,11am – 11pm 
Al Zaitoon,3.4,100,Chinese,www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order,Richmond Road,6.0,"12midnight – 3am, 9:30am – 12midnight "
Al Zaitoon,3.4,100,North Indian,www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order,Richmond Road,6.0,"12midnight – 3am, 9:30am – 12midnight "
Al Zaitoon,3.4,100,Mughlai,www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order,Richmond Road,6.0,"12midnight – 3am, 9:30am – 12midnight "
Al Zaitoon,3.4,100,Lebanese,www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order,Richmond Road,6.0,"12midnight – 3am, 9:30am – 12midnight "
Faasos Signature Wraps and Rolls,3.8,100,Rolls,www.zomato.com/bangalore/faasos-signature-wraps-and-rolls-shanti-nagar-bangalore/order,Shanti Nagar,0.0,Timings Not Available
Faasos Signature Wraps and Rolls,3.8,100,Wraps,www.zomato.com/bangalore/faasos-signature-wraps-and-rolls-shanti-nagar-bangalore/order,Shanti Nagar,0.0,Timings Not Available
Faasos Signature Wraps and Rolls,3.8,100,Shawarma,www.zomato.com/bangalore/faasos-signature-wraps-and-rolls-shanti-nagar-bangalore/order,Shanti Nagar,0.0,Timings Not Available
Spicy Corner,4.0,100,Chinese,www.zomato.com/bangalore/spicy-corner-jeevan-bhima-nagar/order,Jeevan Bhima Nagar,0.0,11am – 11pm 
Bangarpet Chats,4.1,100,Street Food,www.zomato.com/bangalore/bangarpet-chats-rajajinagar-bangalore/order,Rajajinagar,35.0,Opens  at 2pm
Grand Wedding Biryani,3.8,100,Biryani,www.zomato.com/bangalore/grand-wedding-biryani-1-btm-bangalore/order,BTM,27.0,11:30am – 12midnight 
Grand Wedding Biryani,3.8,100,South Indian,www.zomato.com/bangalore/grand-wedding-biryani-1-btm-bangalore/order,BTM,27.0,11:30am – 12midnight 
N Razakhiya Hotel,4.1,100,Rolls,www.zomato.com/bangalore/n-razakhiya-hotel-nagawara-bangalore/order,Nagawara,2.0,1pm – 12midnight 
N Razakhiya Hotel,4.1,100,Kebab,www.zomato.com/bangalore/n-razakhiya-hotel-nagawara-bangalore/order,Nagawara,2.0,1pm – 12midnight 
N Razakhiya Hotel,4.1,100,North Indian,www.zomato.com/bangalore/n-razakhiya-hotel-nagawara-bangalore/order,Nagawara,2.0,1pm – 12midnight 
N Razakhiya Hotel,4.1,100,Chinese,www.zomato.com/bangalore/n-razakhiya-hotel-nagawara-bangalore/order,Nagawara,2.0,1pm – 12midnight 
Shri Krishna Bhavan,4.1,100,South Indian,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Shri Krishna Bhavan,4.1,100,Chinese,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Shri Krishna Bhavan,4.1,100,North Indian,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Shri Krishna Bhavan,4.1,100,Street Food,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Shri Krishna Bhavan,4.1,100,Beverages,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Shri Krishna Bhavan,4.1,100,Ice Cream,www.zomato.com/bangalore/shri-krishna-bhavan-thippasandra/order,Thippasandra,112.0,7:15am – 10:15pm 
Jook Taproom,3.8,100,North Indian,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,South Indian,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Chinese,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Pizza,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Fast Food,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Biryani,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Asian,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Jook Taproom,3.8,100,Bar Food,www.zomato.com/bangalore/jook-taproom-indiranagar-bangalore/order,Indiranagar,1262.0,12noon – 1am 
Namo Andhra - Pure Veg,3.8,100,Andhra,www.zomato.com/bangalore/namo-andhra-pure-veg-basaveshwara-nagar-bangalore/order,Basaveshwara Nagar,0.0,Timings Not Available
Gowdara Hatti,4.0,100,Biryani,www.zomato.com/bangalore/gowdara-hatti-malleshwaram/order,Malleshwaram,74.0,8am – 10:30pm 
Gowdara Hatti,4.0,100,South Indian,www.zomato.com/bangalore/gowdara-hatti-malleshwaram/order,Malleshwaram,74.0,8am – 10:30pm 
Craving O Clock,4.4,100,Burger,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
